Date,ID_actor,Time,Event,ID_attending1,ID_attending2,ID_attending3,ID_attending4,ID_attending5,ID_attending6,ID_attending7,ID_attending8,ID_attending9,ID_Attending10
04.08.18,Yuko,06:45:39,acms,Aare,Yze,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yuko,06:45:45,acmt,,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yuko,06:45:50,acms,,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yuko,06:45:58,acms,Yalu,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yuko,06:46:01,acms,,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yuko,06:46:07,acms,,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yuko,06:46:11,acms,,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yuko,06:46:13,acms,,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yuko,06:46:17,scms,,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yuko,06:46:36,scms,,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Nah,06:48:02,acmt,,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Nah,06:48:08,acmt,Yuko,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Nah,06:48:10,acmt,Aare,Yuko,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Nah,06:48:23,acmt,Aare,Yuko,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Nah,06:48:27,acmt,Aare,Yuko,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Aara,06:58:08,g,,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Amg,06:59:42,g,Aara,Yze,Mhao,,,,,,,
,,,,,,,,,,,,,
04.08.18,Amg,06:59:56,scms,Nah,Mhao,Arn,,,,,,,
,,,,,,,,,,,,,
04.08.18,Nah,07:01:25,acmt,,,,,,,,,,
,,,,,,,,,,,,,
08.08.18,Aara,07:06:16,acms,Aar,Yalu,Yeni,,,,,,,
,,,,,,,,,,,,,
08.08.18,Aara,07:07:04,eph,Lif,Yalu,Yeni,,,,,,,
,,,,,,,,,,,,,
08.08.18,Amg,07:22:45,acmt,Aara,Aar,Yze,Mal,,,,,,
,,,,,,,,,,,,,
08.08.18,Amg,07:23:05,scms,,,,,,,,,,
,,,,,,,,,,,,,
08.08.18,Amg,07:23:08,epm,,,,,,,,,,
,,,,,,,,,,,,,
08.08.18,Amg,07:23:09,scms,,,,,,,,,,
,,,,,,,,,,,,,
08.08.18,Amg,07:23:12,epm,,,,,,,,,,
,,,,,,,,,,,,,
08.08.18,Aara,07:23:43,gr,Amg,,,,,,,,,
,,,,,,,,,,,,,
08.08.18,Amg,07:24:29,eop,Aara,,,,,,,,,
