Date,ID_actor,Time,Event,ID_attending1,ID_attending2,ID_attending3,ID_attending4,ID_attending5,ID_attending6,ID_attending7,ID_attending8,ID_attending9,ID_Attending10,ID_Attending11
16.06.18,Ula,07:02:45,eop,,Cus,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Ula,07:02:48,g,,Cus,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Ula,07:02:53,eop,,Cus,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Pru,07:03:03,gop,Ula,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Pru,07:03:13,eop,Ula,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Ura,07:03:18,ach,Pru,Ula,Upps,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Pru,07:03:21,g,Ula,Upps,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Ura,07:03:21,acmt,Pru,Ula,Upps,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Xala,07:13:33,g,Wol,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,07:13:42,eop,Twe,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Xala,07:13:48,gop,Wol,Prai,Xal,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,07:13:48,eop,Twe,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,07:13:51,eop,Twe,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Xala,07:13:54,gop,Wol,Prai,Xal,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,07:13:55,eop,Twe,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,07:14:00,eop,Twe,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Xala,07:14:12,gop,Wol,Prai,Xal,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Twe,07:14:24,gopr,Gene,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Wol,07:14:36,gopr,Xala,Prai,Xia,Xal,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Xia,07:14:48,gopr,Prai,Xala,Wol,Xal,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Xia,07:14:53,eop,Prai,Xala,Wol,Xal,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Xia,07:14:54,gop,Prai,Xala,Wol,Xal,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Xala,07:15:33,gopr,Prai,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Xala,07:15:38,gop,,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Xala,07:15:52,acms,,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Xala,07:15:59,acmt,Lima,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Xala,07:16:09,gop,Lima,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Umt,07:16:35,eop,Xala,Lima,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Xala,07:16:49,g,Umt,Lima,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Xala,07:16:52,acms,Umt,Lima,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Lima,07:18:18,g,Umt,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Umt,07:18:26,eop,Lima,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Prai,07:18:30,gop,Ula,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Lima,07:18:39,g,Umt,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Prai,07:18:43,gop,Ula,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Lima,07:19:20,gop,Umt,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Upps,07:19:21,gop,,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Cus,07:21:24,gop,,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Renn,07:22:01,gopr,,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Renn,07:22:05,gopr,,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Yan,07:22:11,gop,,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Renn,07:22:19,g,,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Renn,07:22:29,gopr,,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Renn,07:22:46,gopr,,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Renn,07:22:57,gop,,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Renn,07:23:03,gopr,Bela,,,,,,,,,,
,,,,,,,,,,,,,,
20.06.18,Gran,06:40:07,g,Yan,Umt,,,,,,,,,
,,,,,,,,,,,,,,
20.06.18,Guat,06:41:04,g,Gran,Umt,,,,,,,,,
,,,,,,,,,,,,,,
20.06.18,Gene,06:41:19,g,Gran,Umt,,,,,,,,,
,,,,,,,,,,,,,,
20.06.18,Xala,06:46:37,gop,,,,,,,,,,,
,,,,,,,,,,,,,,
20.06.18,Xala,06:47:04,gopr,Wol,,,,,,,,,,
,,,,,,,,,,,,,,
20.06.18,Xala,06:47:46,gopr,Xian,Gaya,,,,,,,,,
,,,,,,,,,,,,,,
20.06.18,Xala,06:48:31,g,Xian,Gaya,Twe,,,,,,,,
,,,,,,,,,,,,,,
20.06.18,Guat,06:49:56,acmt,Gene,Gran,Ula,Lima,Cus,Xin,,,,,
,,,,,,,,,,,,,,
20.06.18,Guat,06:50:06,acmt,Gene,Gran,Ula,Lima,Cus,Xin,,,,,
,,,,,,,,,,,,,,
20.06.18,Guat,06:50:19,gop,Gene,Gran,Ula,Lima,Cus,Xin,,,,,
,,,,,,,,,,,,,,
20.06.18,Xia,06:50:56,acmt,Bela,Yan,,,,,,,,,
,,,,,,,,,,,,,,
20.06.18,Xia,06:50:59,scmt,Bela,Yan,,,,,,,,,
,,,,,,,,,,,,,,
20.06.18,Xia,06:51:02,epm,Bela,Yan,,,,,,,,,
,,,,,,,,,,,,,,
20.06.18,Xia,06:51:11,epm,Bela,Yan,Gaya,,,,,,,,
,,,,,,,,,,,,,,
